ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Mode_of_Shipment_encoded,Customer_rating_category,Prior_purchases_category,Gender_encoded,Interaction_CustomerRating_Discount,Interaction_CustomerCalls_Rating,Shipping_speed,Total_interactions,Expected_delivery_time,CustomerCare_vs_ExpectedTime,ProductImportance_avg_delivery,ShippingMode_avg_delivery,Interaction_Weight_Discount,Customer_rating_and_delivery_time,Product_importance_and_delivery_time,High_product_importance_and_high_rating,Weight_category,Discount_category,Product_Value,Customer_Loyalty,Customer_Satisfaction_Score,Delivery_Time_per_Weight
14,F,Flight,4,4,275,3,high,M,29,2602,1,2,Standard,Low,1,116,16,650.5,7,2,2,0.6497890295358649,0.6015756893640968,75458,4,high,0,Medium,Medium,715550,Regular,2.5,1301.0
15,A,Flight,4,3,152,3,low,M,43,1009,1,2,Average,Low,1,129,12,252.25,7,2,2,0.5927883707759108,0.6015756893640968,43387,3,low,0,Light,High,153368,Regular,2.0,504.5
16,B,Flight,4,3,227,3,low,F,45,2707,1,2,Average,Low,0,135,12,676.75,7,2,2,0.5927883707759108,0.6015756893640968,121815,3,low,0,Medium,High,614489,Regular,2.0,1353.5
17,C,Flight,3,4,143,2,medium,F,6,1194,1,2,Standard,Very Low,0,24,12,398.0,5,2,1,0.5904501472444258,0.6015756893640968,7164,4,medium,0,Light,Low,170742,New,2.5,597.0
18,F,Ship,5,5,227,3,medium,M,36,3952,1,1,High,Low,1,180,25,790.4,8,4,1,0.5904501472444258,0.5975609756097561,142272,5,medium,0,Medium,High,897104,Regular,3.0,988.0
19,D,Ship,5,5,239,3,high,M,18,2495,1,1,High,Low,1,90,25,499.0,8,4,1,0.6497890295358649,0.5975609756097561,44910,5,high,1,Medium,Medium,596305,Regular,3.0,623.75
20,F,Ship,4,5,145,3,medium,M,45,1059,1,1,High,Low,1,225,20,264.75,7,4,0,0.5904501472444258,0.5975609756097561,47655,5,medium,0,Light,High,153555,Regular,3.0,264.75
21,A,Ship,3,3,161,2,medium,F,38,1521,1,1,Average,Very Low,0,114,9,507.0,5,4,-1,0.5904501472444258,0.5975609756097561,57798,3,medium,0,Light,High,244881,New,2.0,380.25
22,B,Ship,3,1,232,4,medium,F,51,2899,1,1,VeryLow,Low,0,51,3,966.3333333333334,7,4,-1,0.5904501472444258,0.5975609756097561,147849,1,medium,0,Medium,High,672568,Regular,1.0,724.75
23,C,Ship,2,5,156,2,low,M,2,1750,1,1,High,Very Low,1,10,10,875.0,4,4,-2,0.5927883707759108,0.5975609756097561,3500,5,low,0,Light,Low,273000,New,3.0,437.5
24,F,Ship,4,3,211,3,high,M,12,3922,1,1,Average,Low,1,36,12,980.5,7,4,0,0.6497890295358649,0.5975609756097561,47064,3,high,0,Medium,Medium,827542,Regular,2.0,980.5
25,D,Ship,4,5,251,2,medium,F,28,3561,1,1,High,Very Low,0,140,20,890.25,6,4,0,0.5904501472444258,0.5975609756097561,99708,5,medium,0,Medium,Medium,893811,New,3.0,890.25
26,F,Ship,3,1,225,4,low,M,29,3496,1,1,VeryLow,Low,1,29,3,1165.3333333333333,7,4,-1,0.5927883707759108,0.5975609756097561,101384,1,low,0,Medium,Medium,786600,Regular,1.0,874.0
27,A,Ship,4,1,172,3,high,F,24,1066,1,1,VeryLow,Low,0,24,4,266.5,7,4,0,0.6497890295358649,0.5975609756097561,25584,1,high,0,Light,Medium,183352,Regular,1.0,266.5
28,B,Ship,5,1,162,3,medium,M,31,1435,1,1,VeryLow,Low,1,31,5,287.0,8,4,1,0.5904501472444258,0.5975609756097561,44485,1,medium,0,Light,High,232470,Regular,1.0,358.75
29,C,Ship,2,3,234,4,low,M,44,3134,1,1,Average,Low,1,132,6,1567.0,6,4,-2,0.5927883707759108,0.5975609756097561,137896,3,low,0,Medium,High,733356,Regular,2.0,783.5
30,F,Ship,5,4,183,2,low,F,36,3819,1,1,Standard,Very Low,0,144,20,763.8,7,4,1,0.5927883707759108,0.5975609756097561,137484,4,low,0,Medium,High,698877,New,2.5,954.75
31,D,Ship,3,4,266,2,medium,F,38,2741,1,1,Standard,Very Low,0,152,12,913.6666666666666,5,4,-1,0.5904501472444258,0.5975609756097561,104158,4,medium,0,Medium,High,729106,New,2.5,685.25
32,F,Ship,5,3,257,2,low,F,61,3341,1,1,Average,Very Low,0,183,15,668.2,7,4,1,0.5927883707759108,0.5975609756097561,203801,3,low,0,Medium,High,858637,New,2.0,835.25
33,A,Ship,3,1,223,3,low,F,22,3795,1,1,VeryLow,Low,0,22,3,1265.0,6,4,-1,0.5927883707759108,0.5975609756097561,83490,1,low,0,Medium,Medium,846285,Regular,1.0,948.75
34,B,Ship,4,2,234,3,medium,M,4,3261,1,1,Low,Low,1,8,8,815.25,7,4,0,0.5904501472444258,0.5975609756097561,13044,2,medium,0,Medium,Low,763074,Regular,1.5,815.25
35,C,Ship,4,2,227,4,medium,F,22,2460,1,1,Low,Low,0,44,8,615.0,8,4,0,0.5904501472444258,0.5975609756097561,54120,2,medium,0,Medium,Medium,558420,Regular,1.5,615.0
36,F,Ship,5,4,149,3,medium,F,44,1811,1,1,Standard,Low,0,176,20,362.2,8,4,1,0.5904501472444258,0.5975609756097561,79684,4,medium,0,Light,High,269839,Regular,2.5,452.75
37,D,Ship,3,5,137,4,high,F,62,1477,1,1,High,Low,0,310,15,492.3333333333333,7,4,-1,0.6497890295358649,0.5975609756097561,91574,5,high,1,Light,High,202349,Regular,3.0,369.25
38,F,Ship,2,4,181,6,medium,F,16,3605,1,1,Standard,Medium,0,64,8,1802.5,8,4,-2,0.5904501472444258,0.5975609756097561,57680,4,medium,0,Medium,Medium,652505,Frequent,2.5,901.25
39,A,Ship,5,1,215,4,low,F,56,3905,1,1,VeryLow,Low,0,56,5,781.0,9,4,1,0.5927883707759108,0.5975609756097561,218680,1,low,0,Medium,High,839575,Regular,1.0,976.25
40,B,Ship,4,2,269,5,low,F,45,2383,1,1,Low,Low,0,90,8,595.75,9,4,0,0.5927883707759108,0.5975609756097561,107235,2,low,0,Medium,High,641027,Regular,1.5,595.75
41,C,Ship,5,1,227,2,low,M,15,3798,1,1,VeryLow,Very Low,1,15,5,759.6,7,4,1,0.5927883707759108,0.5975609756097561,56970,1,low,0,Medium,Medium,862146,New,1.0,949.5
42,F,Ship,5,5,139,4,medium,M,61,1265,1,1,High,Low,1,305,25,253.0,9,4,1,0.5904501472444258,0.5975609756097561,77165,5,medium,0,Light,High,175835,Regular,3.0,316.25
43,D,Ship,3,5,137,2,medium,M,38,1647,1,1,High,Very Low,1,190,15,549.0,5,4,-1,0.5904501472444258,0.5975609756097561,62586,5,medium,0,Light,High,225639,New,3.0,411.75
44,F,Ship,3,1,174,2,low,M,44,1556,1,1,VeryLow,Very Low,1,44,3,518.6666666666666,5,4,-1,0.5927883707759108,0.5975609756097561,68464,1,low,0,Light,High,270744,New,1.0,389.0
45,A,Ship,3,1,151,2,low,M,29,1328,1,1,VeryLow,Very Low,1,29,3,442.6666666666667,5,4,-1,0.5927883707759108,0.5975609756097561,38512,1,low,0,Light,Medium,200528,New,1.0,332.0
46,B,Ship,5,1,210,3,low,F,9,2944,1,1,VeryLow,Low,0,9,5,588.8,8,4,1,0.5927883707759108,0.5975609756097561,26496,1,low,0,Medium,Low,618240,Regular,1.0,736.0
47,C,Ship,3,4,169,4,medium,F,32,1245,1,1,Standard,Low,0,128,12,415.0,7,4,-1,0.5904501472444258,0.5975609756097561,39840,4,medium,0,Light,High,210405,Regular,2.5,311.25
48,F,Ship,5,1,160,2,low,M,32,1576,1,1,VeryLow,Very Low,1,32,5,315.2,7,4,1,0.5927883707759108,0.5975609756097561,50432,1,low,0,Light,High,252160,New,1.0,394.0
49,D,Ship,5,4,190,2,medium,M,9,3753,1,1,Standard,Very Low,1,36,20,750.6,7,4,1,0.5904501472444258,0.5975609756097561,33777,4,medium,0,Medium,Low,713070,New,2.5,938.25
50,F,Ship,5,3,216,3,low,F,40,2146,1,1,Average,Low,0,120,15,429.2,8,4,1,0.5927883707759108,0.5975609756097561,85840,3,low,0,Medium,High,463536,Regular,2.0,536.5
51,A,Ship,4,1,183,3,low,M,37,2042,1,1,VeryLow,Low,1,37,4,510.5,7,4,0,0.5927883707759108,0.5975609756097561,75554,1,low,0,Medium,High,373686,Regular,1.0,510.5
52,B,Ship,4,4,141,3,low,M,22,1735,1,1,Standard,Low,1,88,16,433.75,7,4,0,0.5927883707759108,0.5975609756097561,38170,4,low,0,Light,Medium,244635,Regular,2.5,433.75
53,C,Ship,4,3,165,3,low,F,44,1320,1,1,Average,Low,0,132,12,330.0,7,4,0,0.5927883707759108,0.5975609756097561,58080,3,low,0,Light,High,217800,Regular,2.0,330.0
54,F,Ship,2,1,170,3,low,M,41,1128,1,1,VeryLow,Low,1,41,2,564.0,5,4,-2,0.5927883707759108,0.5975609756097561,46248,1,low,0,Light,High,191760,Regular,1.0,282.0
55,D,Ship,4,3,203,3,high,M,12,3539,1,1,Average,Low,1,36,12,884.75,7,4,0,0.6497890295358649,0.5975609756097561,42468,3,high,0,Medium,Medium,718417,Regular,2.0,884.75
56,F,Ship,2,5,246,5,low,M,46,2437,1,1,High,Low,1,230,10,1218.5,7,4,-2,0.5927883707759108,0.5975609756097561,112102,5,low,0,Medium,High,599502,Regular,3.0,609.25
57,A,Ship,3,3,238,3,low,F,61,3096,1,1,Average,Low,0,183,9,1032.0,6,4,-1,0.5927883707759108,0.5975609756097561,188856,3,low,0,Medium,High,736848,Regular,2.0,774.0
58,B,Ship,3,3,193,3,medium,F,29,3453,1,1,Average,Low,0,87,9,1151.0,6,4,-1,0.5904501472444258,0.5975609756097561,100137,3,medium,0,Medium,Medium,666429,Regular,2.0,863.25
59,C,Ship,5,5,141,3,high,M,41,1367,1,1,High,Low,1,205,25,273.4,8,4,1,0.6497890295358649,0.5975609756097561,56047,5,high,1,Light,High,192747,Regular,3.0,341.75
60,F,Ship,4,1,150,3,high,F,17,1923,1,1,VeryLow,Low,0,17,4,480.75,7,4,0,0.6497890295358649,0.5975609756097561,32691,1,high,0,Light,Medium,288450,Regular,1.0,480.75
61,D,Ship,3,1,221,3,low,F,64,2794,1,1,VeryLow,Low,0,64,3,931.3333333333334,6,4,-1,0.5927883707759108,0.5975609756097561,178816,1,low,0,Medium,High,617474,Regular,1.0,698.5
62,F,Ship,3,3,179,3,medium,M,52,1158,1,1,Average,Low,1,156,9,386.0,6,4,-1,0.5904501472444258,0.5975609756097561,60216,3,medium,0,Light,High,207282,Regular,2.0,289.5
63,A,Ship,5,1,105,6,medium,M,62,1292,1,1,VeryLow,Medium,1,62,5,258.4,11,4,1,0.5904501472444258,0.5975609756097561,80104,1,medium,0,Light,High,135660,Frequent,1.0,323.0
64,B,Ship,3,1,177,3,medium,M,61,1880,1,1,VeryLow,Low,1,61,3,626.6666666666666,6,4,-1,0.5904501472444258,0.5975609756097561,114680,1,medium,0,Light,High,332760,Regular,1.0,470.0
65,C,Ship,4,5,261,2,high,M,49,3045,1,1,High,Very Low,1,245,20,761.25,6,4,0,0.6497890295358649,0.5975609756097561,149205,5,high,1,Medium,High,794745,New,3.0,761.25
66,F,Ship,3,2,202,3,low,M,49,2881,1,1,Low,Low,1,98,6,960.3333333333334,6,4,-1,0.5927883707759108,0.5975609756097561,141169,2,low,0,Medium,High,581962,Regular,1.5,720.25
67,D,Ship,3,2,109,3,medium,F,15,1710,1,1,Low,Low,0,30,6,570.0,6,4,-1,0.5904501472444258,0.5975609756097561,25650,2,medium,0,Light,Medium,186390,Regular,1.5,427.5
68,F,Ship,3,3,158,3,low,F,6,1878,1,1,Average,Low,0,18,9,626.0,6,4,-1,0.5927883707759108,0.5975609756097561,11268,3,low,0,Light,Low,296724,Regular,2.0,469.5
69,A,Ship,4,2,231,4,medium,F,6,2512,1,1,Low,Low,0,12,8,628.0,8,4,0,0.5904501472444258,0.5975609756097561,15072,2,medium,0,Medium,Low,580272,Regular,1.5,628.0
70,B,Ship,3,5,206,3,medium,M,39,2929,1,1,High,Low,1,195,15,976.3333333333334,6,4,-1,0.5904501472444258,0.5975609756097561,114231,5,medium,0,Medium,High,603374,Regular,3.0,732.25
71,C,Ship,5,1,187,4,high,M,14,3849,1,1,VeryLow,Low,1,14,5,769.8,9,4,1,0.6497890295358649,0.5975609756097561,53886,1,high,0,Medium,Medium,719763,Regular,1.0,962.25
72,F,Ship,5,5,230,2,low,F,2,2229,1,1,High,Very Low,0,10,25,445.8,7,4,1,0.5927883707759108,0.5975609756097561,4458,5,low,0,Medium,Low,512670,New,3.0,557.25
73,D,Ship,5,5,232,3,medium,F,33,2998,1,1,High,Low,0,165,25,599.6,8,4,1,0.5904501472444258,0.5975609756097561,98934,5,medium,0,Medium,High,695536,Regular,3.0,749.5
74,F,Ship,4,5,215,3,medium,F,21,3984,1,1,High,Low,0,105,20,996.0,7,4,0,0.5904501472444258,0.5975609756097561,83664,5,medium,0,Medium,Medium,856560,Regular,3.0,996.0
75,A,Ship,6,1,238,6,low,F,13,2442,1,1,VeryLow,Medium,0,13,6,407.0,12,4,2,0.5927883707759108,0.5975609756097561,31746,1,low,0,Medium,Medium,581196,Frequent,1.0,610.5
76,B,Ship,4,1,266,3,low,F,23,3775,1,1,VeryLow,Low,0,23,4,943.75,7,4,0,0.5927883707759108,0.5975609756097561,86825,1,low,0,Medium,Medium,1004150,Regular,1.0,943.75
77,C,Ship,2,3,158,2,medium,F,36,1788,1,1,Average,Very Low,0,108,6,894.0,4,4,-2,0.5904501472444258,0.5975609756097561,64368,3,medium,0,Light,High,282504,New,2.0,447.0
78,F,Ship,3,3,113,3,low,F,43,1518,1,1,Average,Low,0,129,9,506.0,6,4,-1,0.5927883707759108,0.5975609756097561,65274,3,low,0,Light,High,171534,Regular,2.0,379.5
79,D,Ship,3,4,223,3,low,M,18,3959,1,1,Standard,Low,1,72,12,1319.6666666666667,6,4,-1,0.5927883707759108,0.5975609756097561,71262,4,low,0,Medium,Medium,882857,Regular,2.5,989.75
80,F,Ship,3,5,257,2,medium,F,56,3711,1,1,High,Very Low,0,280,15,1237.0,5,4,-1,0.5904501472444258,0.5975609756097561,207816,5,medium,0,Medium,High,953727,New,3.0,927.75
81,A,Ship,3,4,180,2,medium,F,49,1942,1,1,Standard,Very Low,0,196,12,647.3333333333334,5,4,-1,0.5904501472444258,0.5975609756097561,95158,4,medium,0,Light,High,349560,New,2.5,485.5
82,B,Ship,2,5,132,3,low,M,18,1759,1,1,High,Low,1,90,10,879.5,5,4,-2,0.5927883707759108,0.5975609756097561,31662,5,low,0,Light,Medium,232188,Regular,3.0,439.75
83,C,Ship,4,4,217,3,high,F,26,2875,1,1,Standard,Low,0,104,16,718.75,7,4,0,0.6497890295358649,0.5975609756097561,74750,4,high,0,Medium,Medium,623875,Regular,2.5,718.75
84,F,Ship,5,5,162,3,high,F,31,1364,1,1,High,Low,0,155,25,272.8,8,4,1,0.6497890295358649,0.5975609756097561,42284,5,high,1,Light,High,220968,Regular,3.0,341.0
85,D,Ship,4,5,197,2,medium,F,40,2710,1,1,High,Very Low,0,200,20,677.5,6,4,0,0.5904501472444258,0.5975609756097561,108400,5,medium,0,Medium,High,533870,New,3.0,677.5
86,F,Ship,3,4,197,3,medium,M,13,2148,1,1,Standard,Low,1,52,12,716.0,6,4,-1,0.5904501472444258,0.5975609756097561,27924,4,medium,0,Medium,Medium,423156,Regular,2.5,537.0
87,A,Ship,4,1,185,2,low,M,44,2910,1,1,VeryLow,Very Low,1,44,4,727.5,6,4,0,0.5927883707759108,0.5975609756097561,128040,1,low,0,Medium,High,538350,New,1.0,727.5
88,B,Ship,6,2,278,3,medium,F,3,2974,1,1,Low,Low,0,6,12,495.6666666666667,9,4,2,0.5904501472444258,0.5975609756097561,8922,2,medium,0,Medium,Low,826772,Regular,1.5,743.5
89,C,Ship,3,3,229,3,low,M,49,2339,1,1,Average,Low,1,147,9,779.6666666666666,6,4,-1,0.5927883707759108,0.5975609756097561,114611,3,low,0,Medium,High,535631,Regular,2.0,584.75
90,F,Ship,4,1,186,4,medium,F,57,3880,1,1,VeryLow,Low,0,57,4,970.0,8,4,0,0.5904501472444258,0.5975609756097561,221160,1,medium,0,Medium,High,721680,Regular,1.0,970.0
91,D,Ship,5,3,174,6,high,F,41,1085,1,1,Average,Medium,0,123,15,217.0,11,4,1,0.6497890295358649,0.5975609756097561,44485,3,high,0,Light,High,188790,Frequent,2.0,271.25
92,F,Ship,5,5,286,3,low,F,18,3163,1,1,High,Low,0,90,25,632.6,8,4,1,0.5927883707759108,0.5975609756097561,56934,5,low,0,Medium,Medium,904618,Regular,3.0,790.75
93,A,Ship,4,4,175,2,medium,F,7,1188,1,1,Standard,Very Low,0,28,16,297.0,6,4,0,0.5904501472444258,0.5975609756097561,8316,4,medium,0,Light,Low,207900,New,2.5,297.0
94,B,Ship,3,3,219,3,medium,F,17,3387,1,1,Average,Low,0,51,9,1129.0,6,4,-1,0.5904501472444258,0.5975609756097561,57579,3,medium,0,Medium,Medium,741753,Regular,2.0,846.75
95,C,Ship,4,1,213,4,high,F,35,2343,1,1,VeryLow,Low,0,35,4,585.75,8,4,0,0.6497890295358649,0.5975609756097561,82005,1,high,0,Medium,High,499059,Regular,1.0,585.75
96,F,Ship,2,3,235,3,low,M,57,2034,1,1,Average,Low,1,171,6,1017.0,5,4,-2,0.5927883707759108,0.5975609756097561,115938,3,low,0,Medium,High,477990,Regular,2.0,508.5
97,D,Ship,3,3,149,2,medium,M,18,1225,1,1,Average,Very Low,1,54,9,408.3333333333333,5,4,-1,0.5904501472444258,0.5975609756097561,22050,3,medium,0,Light,Medium,182525,New,2.0,306.25
98,F,Ship,4,1,271,2,medium,F,8,2401,1,1,VeryLow,Very Low,0,8,4,600.25,6,4,0,0.5904501472444258,0.5975609756097561,19208,1,medium,0,Medium,Low,650671,New,1.0,600.25
99,A,Ship,3,5,144,4,medium,M,5,1104,1,1,High,Low,1,25,15,368.0,7,4,-1,0.5904501472444258,0.5975609756097561,5520,5,medium,0,Light,Low,158976,Regular,3.0,276.0
100,B,Ship,4,2,145,2,medium,M,21,1617,1,1,Low,Very Low,1,42,8,404.25,6,4,0,0.5904501472444258,0.5975609756097561,33957,2,medium,0,Light,Medium,234465,New,1.5,404.25
101,C,Ship,5,3,143,2,medium,M,59,1837,1,1,Average,Very Low,1,177,15,367.4,7,4,1,0.5904501472444258,0.5975609756097561,108383,3,medium,0,Light,High,262691,New,2.0,459.25
102,F,Ship,5,5,227,4,low,M,53,2624,1,1,High,Low,1,265,25,524.8,9,4,1,0.5927883707759108,0.5975609756097561,139072,5,low,0,Medium,High,595648,Regular,3.0,656.0
103,D,Ship,2,1,213,3,low,M,29,2732,1,1,VeryLow,Low,1,29,2,1366.0,5,4,-2,0.5927883707759108,0.5975609756097561,79228,1,low,0,Medium,Medium,581916,Regular,1.0,683.0
104,F,Ship,5,1,144,4,low,M,37,1658,1,1,VeryLow,Low,1,37,5,331.6,9,4,1,0.5927883707759108,0.5975609756097561,61346,1,low,0,Light,High,238752,Regular,1.0,414.5
105,A,Ship,3,3,218,3,low,M,3,2255,1,1,Average,Low,1,9,9,751.6666666666666,6,4,-1,0.5927883707759108,0.5975609756097561,6765,3,low,0,Medium,Low,491590,Regular,2.0,563.75
106,B,Ship,4,2,144,3,medium,M,59,1588,1,1,Low,Low,1,118,8,397.0,7,4,0,0.5904501472444258,0.5975609756097561,93692,2,medium,0,Light,High,228672,Regular,1.5,397.0
107,C,Ship,3,1,238,3,low,M,17,2624,1,1,VeryLow,Low,1,17,3,874.6666666666666,6,4,-1,0.5927883707759108,0.5975609756097561,44608,1,low,0,Medium,Medium,624512,Regular,1.0,656.0
108,F,Ship,4,5,216,3,high,M,26,2053,1,1,High,Low,1,130,20,513.25,7,4,0,0.6497890295358649,0.5975609756097561,53378,5,high,1,Medium,Medium,443448,Regular,3.0,513.25
109,D,Ship,4,5,238,3,high,F,55,3257,1,1,High,Low,0,275,20,814.25,7,4,0,0.6497890295358649,0.5975609756097561,179135,5,high,1,Medium,High,775166,Regular,3.0,814.25
110,F,Ship,4,1,141,3,medium,M,47,1250,1,1,VeryLow,Low,1,47,4,312.5,7,4,0,0.5904501472444258,0.5975609756097561,58750,1,medium,0,Light,High,176250,Regular,1.0,312.5
111,A,Road,3,1,158,2,low,M,2,1284,1,3,VeryLow,Very Low,1,2,3,428.0,5,6,-3,0.5927883707759108,0.5880681818181818,2568,1,low,0,Light,Low,202872,New,1.0,214.0
112,B,Road,4,2,239,3,low,F,65,3679,1,3,Low,Low,0,130,8,919.75,7,6,-2,0.5927883707759108,0.5880681818181818,239135,2,low,0,Medium,High,879281,Regular,1.5,613.1666666666666
113,C,Road,4,3,175,2,low,M,25,1816,1,3,Average,Very Low,1,75,12,454.0,6,6,-2,0.5927883707759108,0.5880681818181818,45400,3,low,0,Light,Medium,317800,New,2.0,302.6666666666667
114,F,Road,3,2,263,3,low,M,41,2817,1,3,Low,Low,1,82,6,939.0,6,6,-3,0.5927883707759108,0.5880681818181818,115497,2,low,0,Medium,High,740871,Regular,1.5,469.5
115,D,Road,3,5,168,2,high,M,50,1616,1,3,High,Very Low,1,250,15,538.6666666666666,5,6,-3,0.6497890295358649,0.5880681818181818,80800,5,high,1,Light,High,271488,New,3.0,269.3333333333333
116,F,Road,3,4,176,3,high,M,36,1779,1,3,Standard,Low,1,144,12,593.0,6,6,-3,0.6497890295358649,0.5880681818181818,64044,4,high,0,Light,High,313104,Regular,2.5,296.5
117,A,Road,4,1,150,4,high,M,60,1024,1,3,VeryLow,Low,1,60,4,256.0,8,6,-2,0.6497890295358649,0.5880681818181818,61440,1,high,0,Light,High,153600,Regular,1.0,170.66666666666666
118,B,Road,4,3,265,2,medium,F,31,2326,1,3,Average,Very Low,0,93,12,581.5,6,6,-2,0.5904501472444258,0.5880681818181818,72106,3,medium,0,Medium,High,616390,New,2.0,387.6666666666667
119,C,Road,2,5,263,3,low,F,5,2947,1,3,High,Low,0,25,10,1473.5,5,6,-4,0.5927883707759108,0.5880681818181818,14735,5,low,0,Medium,Low,775061,Regular,3.0,491.1666666666667
120,F,Road,5,1,145,3,low,M,20,1387,1,3,VeryLow,Low,1,20,5,277.4,8,6,-1,0.5927883707759108,0.5880681818181818,27740,1,low,0,Light,Medium,201115,Regular,1.0,231.16666666666666
121,D,Road,4,2,183,3,low,F,33,2741,1,3,Low,Low,0,66,8,685.25,7,6,-2,0.5927883707759108,0.5880681818181818,90453,2,low,0,Medium,High,501603,Regular,1.5,456.8333333333333
122,F,Road,3,3,205,3,medium,F,19,2167,1,3,Average,Low,0,57,9,722.3333333333334,6,6,-3,0.5904501472444258,0.5880681818181818,41173,3,medium,0,Medium,Medium,444235,Regular,2.0,361.1666666666667
123,A,Road,4,2,160,3,low,M,64,1714,1,3,Low,Low,1,128,8,428.5,7,6,-2,0.5927883707759108,0.5880681818181818,109696,2,low,0,Light,High,274240,Regular,1.5,285.6666666666667
124,B,Road,3,3,252,2,medium,F,48,2102,1,3,Average,Very Low,0,144,9,700.6666666666666,5,6,-3,0.5904501472444258,0.5880681818181818,100896,3,medium,0,Medium,High,529704,New,2.0,350.3333333333333
125,C,Road,5,5,222,3,low,M,10,2280,1,3,High,Low,1,50,25,456.0,8,6,-1,0.5927883707759108,0.5880681818181818,22800,5,low,0,Medium,Low,506160,Regular,3.0,380.0
126,F,Road,3,3,203,2,low,M,25,3607,1,3,Average,Very Low,1,75,9,1202.3333333333333,5,6,-3,0.5927883707759108,0.5880681818181818,90175,3,low,0,Medium,Medium,732221,New,2.0,601.1666666666666
127,D,Road,4,5,220,3,medium,M,40,3516,1,3,High,Low,1,200,20,879.0,7,6,-2,0.5904501472444258,0.5880681818181818,140640,5,medium,0,Medium,High,773520,Regular,3.0,586.0
128,F,Road,3,3,147,4,low,F,60,1722,1,3,Average,Low,0,180,9,574.0,7,6,-3,0.5927883707759108,0.5880681818181818,103320,3,low,0,Light,High,253134,Regular,2.0,287.0
129,A,Road,4,4,200,4,medium,M,16,2060,1,3,Standard,Low,1,64,16,515.0,8,6,-2,0.5904501472444258,0.5880681818181818,32960,4,medium,0,Medium,Medium,412000,Regular,2.5,343.3333333333333
